Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/17/2017,HOU,L 121-122,30,8,18,3,9,3,3,5,4,0,1,4,2,22,REGULAR SEASON STATS,L,121,122
10/20/2017,NO,W 128-120,35,7,16,4,11,10,10,3,8,0,0,1,1,28,REGULAR SEASON STATS,W,128,120
10/21/2017,MEM,L 101-111,30,9,17,6,11,13,13,6,3,0,0,5,2,37,REGULAR SEASON STATS,L,101,111
10/23/2017,DAL,W 133-103,31,7,15,2,10,13,13,2,8,0,4,1,6,29,REGULAR SEASON STATS,W,133,103
10/25/2017,TOR,W 117-112,38,9,20,4,11,8,8,4,5,1,3,2,2,30,REGULAR SEASON STATS,W,117,112
10/27/2017,WSH,W 120-117,36,7,19,3,13,3,3,5,8,0,2,2,2,20,REGULAR SEASON STATS,W,120,117
10/29/2017,DET,L 107-115,35,11,17,3,7,2,3,6,8,0,1,3,5,27,REGULAR SEASON STATS,L,107,115
10/30/2017,LAC,W 141-113,30,9,14,7,11,6,8,5,6,1,2,3,1,31,REGULAR SEASON STATS,W,141,113
11/2/2017,SA,W 112-92,32,7,13,3,4,4,4,8,5,0,3,2,2,21,REGULAR SEASON STATS,W,112,92
11/4/2017,DEN,W 127-108,30,7,14,5,10,3,4,0,11,0,2,0,3,22,REGULAR SEASON STATS,W,127,108
11/6/2017,MIA,W 97-80,34,5,19,2,9,4,5,5,4,0,2,3,1,16,REGULAR SEASON STATS,W,97,80
11/8/2017,MIN,W 125-101,30,7,16,2,7,6,6,8,8,1,2,2,5,22,REGULAR SEASON STATS,W,125,101
11/11/2017,PHI,W 135-114,30,5,12,3,8,9,9,4,9,0,1,0,2,22,REGULAR SEASON STATS,W,135,114
11/13/2017,ORL,W 110-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,110,100
11/16/2017,BOS,L 88-92,31,3,14,2,9,1,2,6,5,0,4,5,4,9,REGULAR SEASON STATS,L,88,92
11/18/2017,PHI,W 124-116,35,11,22,4,9,9,9,5,5,1,0,1,2,35,REGULAR SEASON STATS,W,124,116
11/19/2017,BKN,W 118-111,33,14,24,4,10,7,8,11,7,0,3,6,7,39,REGULAR SEASON STATS,W,118,111
11/22/2017,OKC,L 91-108,31,9,18,3,8,3,3,5,6,0,1,1,6,24,REGULAR SEASON STATS,L,91,108
11/24/2017,CHI,W 143-94,27,10,18,4,11,9,9,7,4,0,2,2,2,33,REGULAR SEASON STATS,W,143,94
11/25/2017,NO,W 110-95,36,9,25,3,13,6,6,4,6,0,1,2,1,27,REGULAR SEASON STATS,W,110,95
11/27/2017,SAC,L 106-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,106,110
11/29/2017,LAL,W 127-123,39,9,20,3,9,7,8,5,7,0,0,4,5,28,REGULAR SEASON STATS,W,127,123
12/1/2017,ORL,W 133-112,33,9,20,3,8,2,2,6,10,0,3,2,4,23,REGULAR SEASON STATS,W,133,112
12/3/2017,MIA,W 123-95,30,11,16,5,9,3,4,2,3,0,2,1,0,30,REGULAR SEASON STATS,W,123,95
12/4/2017,NO,W 125-115,34,9,19,5,11,8,9,5,11,0,1,5,2,31,REGULAR SEASON STATS,W,125,115
12/6/2017,CHA,W 101-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,101,87
12/8/2017,DET,W 102-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,102,98
12/11/2017,POR,W 111-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,111,104
12/14/2017,DAL,W 112-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,112,97
12/18/2017,LAL,W 116-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,116,114
12/20/2017,MEM,W 97-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,97,84
12/22/2017,LAL,W 113-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,113,106
12/23/2017,DEN,L 81-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,81,96
12/25/2017,CLE,W 99-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,99,92
12/27/2017,UTAH,W 126-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,126,101
12/29/2017,CHA,L 100-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,100,111
12/30/2017,MEM,W 141-128,26,13,17,10,13,2,2,4,3,0,0,2,0,38,REGULAR SEASON STATS,W,141,128
1/3/2018,DAL,W 125-122,34,11,19,6,13,4,5,5,8,0,1,1,3,32,REGULAR SEASON STATS,W,125,122
1/4/2018,HOU,W 124-114,37,10,20,4,10,5,6,9,5,0,1,3,3,29,REGULAR SEASON STATS,W,124,114
1/6/2018,LAC,W 121-105,30,11,21,8,16,15,16,6,3,0,3,2,2,45,REGULAR SEASON STATS,W,121,105
1/8/2018,DEN,W 124-114,35,9,17,5,10,9,10,4,9,0,2,3,6,32,REGULAR SEASON STATS,W,124,114
1/10/2018,LAC,L 106-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,106,125
1/12/2018,MIL,W 108-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,108,94
1/13/2018,TOR,W 127-125,34,6,12,2,7,10,12,6,9,0,1,3,1,24,REGULAR SEASON STATS,W,127,125
1/15/2018,CLE,W 118-108,33,8,15,4,8,3,4,4,8,0,2,3,3,23,REGULAR SEASON STATS,W,118,108
1/17/2018,CHI,W 119-112,35,10,18,6,11,4,4,9,4,0,1,2,6,30,REGULAR SEASON STATS,W,119,112
1/20/2018,HOU,L 108-116,36,6,20,5,15,2,4,1,8,0,2,2,6,19,REGULAR SEASON STATS,L,108,116
1/23/2018,NY,W 123-112,33,9,19,8,15,6,6,6,7,0,0,2,1,32,REGULAR SEASON STATS,W,123,112
1/25/2018,MIN,W 126-113,37,9,14,5,9,2,3,5,9,0,3,2,2,25,REGULAR SEASON STATS,W,126,113
1/27/2018,BOS,W 109-105,37,16,24,8,13,9,10,4,5,0,2,2,1,49,REGULAR SEASON STATS,W,109,105
1/30/2018,UTAH,L 99-129,30,4,13,1,7,5,5,2,5,0,0,1,3,14,REGULAR SEASON STATS,L,99,129
2/2/2018,SAC,W 119-104,36,7,17,3,10,6,6,5,6,0,2,3,6,23,REGULAR SEASON STATS,W,119,104
2/3/2018,DEN,L 108-115,36,8,16,5,12,3,4,6,4,0,2,2,5,24,REGULAR SEASON STATS,L,108,115
2/6/2018,OKC,L 105-125,32,6,14,2,9,7,7,5,5,1,1,3,3,21,REGULAR SEASON STATS,L,105,125
2/8/2018,DAL,W 121-103,30,7,12,4,9,2,2,7,8,0,0,1,4,20,REGULAR SEASON STATS,W,121,103
2/10/2018,SA,W 122-105,29,7,13,3,7,0,0,4,8,0,2,0,2,17,REGULAR SEASON STATS,W,122,105
2/12/2018,PHX,W 129-83,30,8,17,3,9,3,3,9,7,1,0,3,3,22,REGULAR SEASON STATS,W,129,83
2/14/2018,POR,L 117-123,34,6,17,3,10,2,2,4,6,0,3,4,7,17,REGULAR SEASON STATS,L,117,123
2/18/2018,LEB,L 145-148,27,4,14,3,11,0,0,6,5,0,1,0,6,11,REGULAR SEASON STATS,L,145,148
2/22/2018,LAC,W 134-127,37,14,19,8,11,8,8,6,10,0,2,4,4,44,REGULAR SEASON STATS,W,134,127
2/24/2018,OKC,W 112-80,30,8,19,5,12,0,0,9,6,0,3,2,2,21,REGULAR SEASON STATS,W,112,80
2/26/2018,NY,W 125-111,30,8,16,4,9,1,1,5,5,0,0,1,3,21,REGULAR SEASON STATS,W,125,111
2/28/2018,WSH,W 109-101,35,5,15,4,9,11,12,5,3,0,2,3,6,25,REGULAR SEASON STATS,W,109,101
3/2/2018,ATL,W 114-109,24,8,15,4,9,8,8,1,3,0,2,0,0,28,REGULAR SEASON STATS,W,114,109
3/6/2018,BKN,W 114-101,34,12,20,6,12,4,5,6,4,1,3,2,3,34,REGULAR SEASON STATS,W,114,101
3/8/2018,SA,W 110-107,2,0,1,0,0,2,2,0,0,0,0,0,0,2,REGULAR SEASON STATS,W,110,107
3/9/2018,POR,L 108-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,108,125
3/11/2018,MIN,L 103-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,103,109
3/14/2018,LAL,W 117-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,106
3/16/2018,SAC,L 93-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,93,98
3/17/2018,PHX,W 124-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,124,109
3/19/2018,SA,L 75-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,75,89
3/23/2018,ATL,W 106-94,25,10,18,3,8,6,6,7,1,1,0,1,1,29,REGULAR SEASON STATS,W,106,94
3/25/2018,UTAH,L 91-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,91,110
3/27/2018,IND,L 81-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,81,92
3/29/2018,MIL,L 107-116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,107,116
3/31/2018,SAC,W 112-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,112,96
4/1/2018,PHX,W 117-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,107
