Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
4/20/2013,DEN,L 95-97,43,7,20,4,10,1,1,4,9,0,2,2,5,19,Conference Quarterfinals,L,95,97
4/23/2013,DEN,W 131-117,42,13,23,4,10,0,0,5,13,0,3,4,1,30,Conference Quarterfinals,W,131,117
4/26/2013,DEN,W 110-108,38,8,17,4,7,9,9,6,11,0,2,4,3,29,Conference Quarterfinals,W,110,108
4/28/2013,DEN,W 115-101,33,10,16,6,11,5,5,3,7,0,4,4,2,31,Conference Quarterfinals,W,115,101
4/30/2013,DEN,L 100-107,42,7,19,1,6,0,0,4,8,1,0,5,2,15,Conference Quarterfinals,L,100,107
5/2/2013,DEN,W 92-88,42,6,14,4,8,6,6,4,8,0,2,3,7,22,Conference Quarterfinals,W,92,88
5/6/2013,SA,L 127-129,58,18,35,6,14,2,2,4,11,0,2,3,6,44,Conference Semifinals,L,127,129
5/8/2013,SA,W 100-91,43,7,20,2,6,6,9,4,4,0,1,2,2,22,Conference Semifinals,W,100,91
5/10/2013,SA,L 92-102,42,5,17,3,9,3,3,2,8,0,2,3,3,16,Conference Semifinals,L,92,102
5/12/2013,SA,W 97-87,39,7,15,5,10,3,3,6,4,0,0,2,2,22,Conference Semifinals,W,97,87
5/14/2013,SA,L 91-109,35,4,14,1,7,0,0,0,8,0,1,1,4,9,Conference Semifinals,L,91,109
5/16/2013,SA,L 82-94,40,10,25,2,8,0,0,4,6,1,1,2,3,22,Conference Semifinals,L,82,94
